,City,Country,Cloudiness,Humidity,Lat,Lng,Max Temperature,Wind Speed
411,Banda Aceh,ID,99,70,5.5577,95.3222,82.74,3.02
412,Bela Cruz,BR,78,93,-3.0506,-40.1678,74.46,3.0
413,Henderson,US,0,16,36.0397,-114.9819,72.84,6.91
414,Sechura,PE,92,69,-5.5569,-80.8222,74.89,3.71
415,Lubao,PH,72,51,14.9167,120.55,87.15,14.76
416,Shirokiy,RU,6,78,49.758,129.523,15.98,4.99
417,Onokhino,RU,98,89,56.925,65.5394,23.32,7.63
418,Tura,IN,0,23,25.5198,90.2201,77.2,0.85
419,Tasiilaq,GL,100,84,65.6145,-37.6368,30.36,26.44
420,Atambua,ID,24,68,-9.1061,124.8925,82.49,4.5
421,Iwanai,JP,100,99,42.9744,140.5089,33.62,2.93
422,Malanje,AO,100,96,-9.5402,16.341,63.81,0.96
423,Albanel,CA,98,96,48.8832,-72.4487,8.74,3.91
424,Howard Springs,AU,96,72,-12.497,131.047,92.98,8.39
425,Nhulunbuy,AU,75,78,-12.2333,136.7667,79.41,20.71
426,Oriximiná,BR,49,87,-1.7656,-55.8661,74.89,2.59
427,Karratha,AU,14,41,-20.7377,116.8463,95.79,7.87
428,Brae,GB,5,77,60.3964,-1.353,42.71,23.98
429,Somanda,TZ,23,86,-3.3667,33.95,63.72,4.59
430,Ternate,ID,100,71,0.8,127.4,83.53,4.54
431,Burns Lake,CA,100,98,54.2331,-125.7533,31.51,1.07
432,Sisimiut,GL,81,90,66.9395,-53.6735,11.44,10.47
433,Telde,ES,20,68,27.9924,-15.4192,62.82,19.57
434,Debre Birhan,ET,59,58,9.6833,39.5333,46.06,4.54
435,Shumskiy,RU,82,73,54.8318,99.1328,11.88,13.11
436,Melfort,CA,9,96,52.8667,-104.6177,-16.42,5.73
437,Tokur,RU,99,82,53.1333,132.9,6.8,4.99
438,Oblivskaya,RU,100,95,48.5362,42.5014,37.8,12.93
439,Tela,HN,22,85,15.7833,-87.45,75.07,7.07
440,Muros,ES,100,93,42.7762,-9.0603,55.09,20.8
441,Misratah,LY,7,65,32.3754,15.0925,52.32,10.33
442,Phalombe,MW,98,92,-15.8064,35.6507,62.26,0.87
443,Tāybād,IR,96,50,34.74,60.7756,54.37,3.33
444,Husavik,IS,100,97,66.0449,-17.3389,35.02,5.75
445,Prince Rupert,CA,100,93,54.3161,-130.3201,40.21,3.8
446,Pacocha,PE,86,84,-17.5833,-71.3333,70.54,0.76
447,Aripuanã,BR,100,99,-9.1667,-60.6333,72.5,1.34
448,Hastings,GB,100,83,50.8552,0.5729,46.9,8.57
449,Mareeba,AU,52,70,-17.0,145.4333,94.66,5.64
450,Vehari,PK,35,78,30.0333,72.35,59.4,7.34
451,Port Hawkesbury,CA,63,91,45.6169,-61.3485,25.18,3.0
452,Margate,GB,100,87,51.3813,1.3862,45.95,3.0
453,Nantong,CN,33,47,32.0303,120.8747,64.02,4.0
454,Ekibastuz,KZ,7,90,51.6667,75.3667,12.25,10.38
455,Dingle,PH,66,64,10.9995,122.6711,86.27,14.32
456,Chapais,CA,81,100,49.7834,-74.8492,-7.82,4.03
457,Port Blair,IN,40,79,11.6667,92.75,84.24,9.22
458,Lábrea,BR,98,93,-7.2586,-64.7981,73.13,1.77
459,Altamont,US,0,40,42.2068,-121.7372,50.77,17.27
460,Manzhouli,CN,100,72,49.6,117.4333,13.12,4.92
461,Mount Gambier,AU,72,38,-37.8333,140.7667,85.6,4.32
462,Cape Canaveral,US,0,78,28.4058,-80.6048,70.03,6.91
463,Guánica,PR,71,90,17.9716,-66.908,76.21,1.01
464,Portales,US,1,18,34.1862,-103.3344,58.93,8.48
465,Gravdal,NO,98,64,68.1214,13.5031,36.46,10.85
466,Niles,US,100,80,42.0189,-87.8028,42.75,18.41
467,Tucumã,BR,46,92,-0.1833,-50.05,75.9,5.14
468,Bull Savanna,JM,8,75,17.8868,-77.5902,73.26,2.51
469,Methóni,GR,95,64,36.8197,21.7049,43.21,21.23
470,Sept-Îles,CA,100,75,50.2001,-66.3821,12.06,1.01
471,Pacific Grove,US,0,56,36.6177,-121.9166,62.28,4.61
472,Bani Walid,LY,0,74,31.7566,13.9942,44.55,4.88
473,Balabac,PH,40,75,7.9868,117.0645,83.59,16.04
474,Port Moresby,PG,49,61,-9.4431,147.1797,86.2,8.59
475,Killybegs,IE,100,83,54.6333,-8.45,39.45,15.5
476,Abnūb,EG,76,56,27.2696,31.1511,61.16,14.18
477,Mpigi,UG,44,78,0.225,32.3136,63.3,3.0
478,Palu,ID,90,61,-0.8917,119.8707,89.26,3.51
479,Lorengau,PG,92,68,-2.0226,147.2712,85.41,3.31
480,Oranjemund,NA,0,92,-28.55,16.4333,63.95,2.91
481,Trincomalee,LK,100,65,8.5711,81.2335,81.9,18.39
482,Lærdal,NO,8,83,61.098,7.4816,26.44,7.05
483,Matara,LK,100,74,5.9485,80.5353,79.03,5.77
484,Monticello,US,40,57,45.3055,-93.7941,27.03,6.91
485,Fegyvernek,HU,13,64,47.2667,20.5333,30.22,5.28
486,El Alto,PE,97,74,-4.2714,-81.2147,73.47,3.24
487,North Bend,US,100,97,43.4065,-124.2243,49.24,0.0
488,Río Gallegos,AR,100,93,-51.6226,-69.2181,51.85,17.27
489,Sinop Province,TR,100,99,41.7711,34.8709,29.89,3.65
490,Broken Hill,AU,0,36,-31.95,141.4333,83.84,11.16
491,Gunjur,GM,13,68,13.2019,-16.7339,68.07,6.91
492,Basco,PH,28,76,20.4487,121.9702,75.22,13.8
493,Ţahţā,EG,18,46,26.7693,31.5021,63.34,17.94
494,Celestún,MX,0,71,20.8667,-90.4,70.83,11.05
495,Vetlanda,SE,5,91,57.4289,15.0776,27.39,4.88
496,Inhambane,MZ,2,81,-23.865,35.3833,70.5,2.59
497,Norman Wells,CA,16,95,65.282,-126.8329,-2.67,5.44
498,Bonthe,SL,73,82,7.5264,-12.505,75.67,2.19
499,Challans,FR,89,94,46.8436,-1.8749,50.27,8.5
500,Vultureni,RO,92,88,46.3667,27.2833,34.03,15.1
501,Kodinsk,RU,100,89,58.6881,99.1844,5.11,12.46
502,Baykit,RU,100,90,61.67,96.37,5.02,9.71
503,Puerto Escondido,MX,40,69,15.85,-97.0667,81.43,0.0
504,Morros,BR,100,85,-9.4467,-46.3003,72.34,2.33
505,Havelock,US,0,72,34.8791,-76.9013,60.78,1.99
506,Sinjār,IQ,100,75,36.3209,41.8754,53.38,20.0
507,Kangaatsiaq,GL,38,81,68.3065,-53.4641,16.23,19.48
508,Rincon,US,0,62,32.296,-81.2354,61.86,5.75
509,São José da Coroa Grande,BR,24,84,-8.8978,-35.1478,78.71,5.39
510,Sioux Lookout,CA,17,96,50.1001,-91.917,-3.75,5.46
511,Elk River,US,76,91,45.3038,-93.5672,26.6,7.14
512,Ribas do Rio Pardo,BR,98,87,-20.4431,-53.7592,70.25,3.33
513,Luba,GQ,90,84,3.4568,8.5547,80.64,5.35
514,Hirara,JP,99,77,24.8,125.2833,68.22,15.46
515,Porbandar,IN,0,55,21.6422,69.6093,74.32,11.25
516,Funtua,NG,8,9,11.5233,7.3081,69.66,7.52
517,Øksfjord,NO,100,89,70.2396,22.3479,31.12,26.91
518,Arrondissement d'Ajaccio,FR,93,87,42.0,8.9167,39.69,6.91
519,Pucallpa,PE,75,100,-8.3791,-74.5539,77.04,2.3
520,Homer,US,100,83,59.6425,-151.5483,35.49,10.36
521,Viedma,AR,1,55,-40.8135,-62.9967,63.25,13.06
522,Adrar,MR,0,35,20.5022,-10.0711,64.49,12.39
523,Līsakovsk,KZ,68,96,52.5369,62.4936,9.45,7.2
524,Avera,US,0,48,33.194,-82.5271,63.54,6.17
525,Hearst,CA,66,100,49.6835,-83.6665,-13.77,2.71
526,Esso,RU,100,86,55.9333,158.7,21.54,8.32
527,Kargopol',RU,100,85,61.5071,38.9456,28.89,4.27
528,Mandalgovi,MN,50,23,45.7625,106.2708,28.2,19.91
529,Araouane,ML,46,29,18.9048,-3.5265,67.55,15.08
530,Port Hedland,AU,100,49,-20.3167,118.5667,93.25,9.22
531,Derzhavīnsk,KZ,37,95,51.1,66.3167,0.48,5.46
532,Bodden Town,KY,20,78,19.2833,-81.25,77.0,6.91
533,Zhangye,CN,87,23,38.9342,100.4517,39.88,3.78
534,Saucillo,MX,51,16,28.0167,-105.2833,68.58,7.4
535,San Francisco,US,75,80,37.7749,-122.4194,62.13,7.0
536,Ekhabi,RU,88,82,53.5102,142.9671,5.63,13.22
537,Hay River,CA,59,100,60.8156,-115.7999,-12.32,4.68
538,Yerbogachën,RU,100,91,61.2767,108.0108,17.71,6.91
539,Balkanabat,TM,75,44,39.5108,54.3671,58.46,7.47
540,Kismayo,SO,75,85,-0.3582,42.5454,77.86,15.9
541,Pittsburg,US,0,59,38.028,-121.8847,62.73,6.91
542,Bonavista,CA,100,87,48.6499,-53.1147,33.12,32.32
543,Amahai,ID,10,63,-3.3333,128.9167,87.84,5.1
544,Eyl,SO,6,83,7.9803,49.8164,70.47,9.04
545,Pontianak,ID,40,74,-0.0333,109.3333,84.18,4.61
546,Udimskiy,RU,100,98,61.1417,45.9144,19.18,4.47
547,Clarence Town,AU,100,98,-32.5833,151.7833,74.8,11.79
548,Codrington,AU,17,47,-38.2667,141.9667,82.17,10.94
549,Båtsfjord,NO,100,93,70.6345,29.7185,31.1,35.88
550,Coyhaique,CL,75,59,-45.5752,-72.0662,62.55,4.61
551,Adré,TD,97,11,13.4667,22.2,72.68,10.04
552,Bratsk,RU,98,81,56.1325,101.6142,9.09,16.31
553,Sawtell,AU,31,69,-30.3833,153.1,84.18,12.66
554,Esil,KZ,97,99,51.9556,66.4042,1.85,6.89
555,Sambava,MG,98,91,-14.2667,50.1667,75.61,3.83
556,Denia,ES,9,80,38.8408,0.1057,56.84,5.01
557,Yenagoa,NG,68,90,4.9247,6.2642,77.79,3.56
558,Gorontalo,ID,47,61,0.5412,123.0595,89.29,1.7
559,Kamaishi,JP,88,81,39.2667,141.8833,41.95,14.03
560,Dunedin,NZ,79,58,-45.8742,170.5036,63.16,4.85
561,Darhan,MN,100,75,49.4867,105.9228,20.68,13.6
562,Jumla,NP,1,43,29.2747,82.1838,47.77,1.01
563,Kandrian,PG,72,64,-6.2167,149.55,86.27,5.44
564,Leshukonskoye,RU,100,94,64.8989,45.7622,28.09,6.73
565,Wapi Pathum,TH,3,43,15.8452,103.3768,87.06,7.76
566,Victoria Point,AU,56,87,-27.5833,153.3,79.11,5.01
567,Nabire,ID,100,68,-3.3667,135.4833,86.16,5.79
